Name,Furniture Type,Material,Color,Feel,Is_Accessory,Dimensions (cm)
Fabric Dining Table Model 6507,Dining Table,Fabric,Natural,Bohemian,FALSE,195x52x129
Marble Cabinet Model 7455,Cabinet,Marble,Beige,Japanese,TRUE,31x174x119
Eco Teak Cabinet Model 1823,Cabinet,Teak,Red,Scandinavian,TRUE,126x93x96
Plastic Coffee Table Model 5133,Coffee Table,Plastic,Espresso,Bohemian,FALSE,14x148x23
Glass Nightstand Model 1659,Nightstand,Glass,Cream,Modern,TRUE,61x15x169
Glass Cabinet Model 2874,Cabinet,Glass,White,Mid-Century,TRUE,129x189x75
Aluminum Nightstand Model 2876,Nightstand,Aluminum,Yellow,Traditional,TRUE,89x37x158
Walnut Table Model 7149,Table,Walnut,Brown,Traditional,TRUE,29x161x186
Steel Dresser Model 2983,Dresser,Steel,Mahogany,Rustic,TRUE,98x146x119
Steel Nightstand Model 1207,Nightstand,Steel,Beige,Minimalist,FALSE,37x120x102
Oak Armchair Model 3885,Armchair,Oak,White,Bohemian,FALSE,167x147x133
Compact Leather Armchair Model 5397,Armchair,Leather,Oak Finish,Traditional,TRUE,81x125x72
Eco Marble Armchair Model 6511,Armchair,Marble,Yellow,Bohemian,TRUE,134x64x100
Wicker Bookshelf Model 5526,Bookshelf,Wicker,Brown,Traditional,TRUE,31x71x194
Fabric Dining Table Model 8800,Dining Table,Fabric,Beige,Industrial,FALSE,124x14x33
Glass Wardrobe Model 6016,Wardrobe,Glass,Green,Industrial,FALSE,131x151x145
Leather Nightstand Model 6419,Nightstand,Leather,Mahogany,Contemporary,FALSE,79x88x74
Corner Steel Dresser Model 6169,Dresser,Steel,Mahogany,Industrial,TRUE,59x65x199
Plastic Recliner Model 9595,Recliner,Plastic,Mahogany,Traditional,TRUE,59x85x68
Classic Aluminum Nightstand Model 9751,Nightstand,Aluminum,Brown,Japanese,TRUE,151x84x188
Plywood Cabinet Model 2680,Cabinet,Plywood,Oak Finish,Mid-Century,FALSE,130x132x122
Modern Aluminum Bench Model 8827,Bench,Aluminum,Natural,Rustic,FALSE,135x28x157
Compact Aluminum Chair Model 5978,Chair,Aluminum,White,Traditional,TRUE,152x116x165
Pine Dresser Model 8381,Dresser,Pine,Beige,Bohemian,FALSE,160x119x88
Marble Chair Model 4404,Chair,Marble,Mahogany,Modern,FALSE,179x30x50
Slim Aluminum Dresser Model 3564,Dresser,Aluminum,Beige,Modern,FALSE,84x18x69
Oak Wardrobe Model 2166,Wardrobe,Oak,Brown,Mid-Century,FALSE,170x160x179
Leather Stool Model 4683,Stool,Leather,Black,Contemporary,FALSE,46x28x25
Pine Desk Model 5728,Desk,Pine,Brown,Traditional,FALSE,186x87x189
Plastic Coffee Table Model 9090,Coffee Table,Plastic,Beige,Contemporary,TRUE,120x198x92
Wood Bookshelf Model 1339,Bookshelf,Wood,Black,Industrial,FALSE,157x20x54
Extendable Bamboo Recliner Model 5557,Recliner,Bamboo,Cream,Mid-Century,FALSE,172x135x33
Wicker Recliner Model 6260,Recliner,Wicker,Green,Minimalist,TRUE,94x115x187
Plastic Recliner Model 1601,Recliner,Plastic,Cream,Bohemian,FALSE,74x92x39
Teak Coffee Table Model 9889,Coffee Table,Teak,Beige,Japanese,TRUE,58x142x102
Vintage Plywood Recliner Model 4335,Recliner,Plywood,Red,Japanese,FALSE,122x188x134
Wood Sofa Model 4920,Sofa,Wood,Cream,Traditional,FALSE,151x13x151
Steel Dining Table Model 8560,Dining Table,Steel,Gray,Modern,TRUE,137x193x84
Corner Leather Bookshelf Model 8736,Bookshelf,Leather,Oak Finish,Mid-Century,TRUE,108x58x163
Corner Teak Cabinet Model 7798,Cabinet,Teak,Black,Rustic,FALSE,10x82x195
Teak Wardrobe Model 9022,Wardrobe,Teak,Yellow,Traditional,FALSE,147x133x98
Bamboo Bench Model 7180,Bench,Bamboo,Espresso,Contemporary,FALSE,58x188x71
Slim Glass Coffee Table Model 1715,Coffee Table,Glass,Oak Finish,Bohemian,FALSE,108x179x176
Fabric Cabinet Model 9229,Cabinet,Fabric,Natural,Scandinavian,FALSE,35x122x35
Wood Armchair Model 7717,Armchair,Wood,Mahogany,Scandinavian,TRUE,29x130x77
Marble Bench Model 2315,Bench,Marble,Mahogany,Bohemian,FALSE,91x170x193
Deluxe Teak Recliner Model 2121,Recliner,Teak,Beige,Japanese,TRUE,33x121x35
Classic Fabric Sofa Model 1474,Sofa,Fabric,White,Rustic,FALSE,101x105x120
Modern Glass Cabinet Model 3950,Cabinet,Glass,Beige,Bohemian,FALSE,168x184x71
Walnut Recliner Model 4804,Recliner,Walnut,Yellow,Scandinavian,FALSE,127x75x180
Walnut Table Model 5712,Table,Walnut,Espresso,Mid-Century,TRUE,28x123x98
Plywood Wardrobe Model 8484,Wardrobe,Plywood,Green,Rustic,TRUE,108x133x37
Leather Dresser Model 5847,Dresser,Leather,Yellow,Minimalist,FALSE,15x178x111
Wood Bookshelf Model 9138,Bookshelf,Wood,Yellow,Japanese,FALSE,68x165x100
Plywood Dresser Model 5106,Dresser,Plywood,Gray,Traditional,TRUE,170x34x170
Plastic Chair Model 1546,Chair,Plastic,Espresso,Mid-Century,TRUE,33x85x93
Aluminum Dining Table Model 9837,Dining Table,Aluminum,Gray,Scandinavian,FALSE,145x138x79
Plastic Desk Model 5835,Desk,Plastic,Walnut Finish,Mid-Century,FALSE,39x129x29
Premium Pine Cabinet Model 6992,Cabinet,Pine,Gray,Bohemian,TRUE,77x147x41
Wicker Armchair Model 7242,Armchair,Wicker,Cream,Rustic,FALSE,37x182x69
Wood Recliner Model 6374,Recliner,Wood,Yellow,Contemporary,TRUE,175x26x172
Classic Walnut Armchair Model 7689,Armchair,Walnut,Mahogany,Rustic,TRUE,87x136x39
Glass Sofa Model 3222,Sofa,Glass,Walnut Finish,Contemporary,FALSE,181x200x188
Marble Dining Table Model 7797,Dining Table,Marble,Mahogany,Scandinavian,FALSE,167x114x81
Oak Chair Model 8264,Chair,Oak,Blue,Industrial,TRUE,102x35x185
Bamboo Nightstand Model 1992,Nightstand,Bamboo,Walnut Finish,Minimalist,TRUE,41x126x33
Eco Plywood Stool Model 1349,Stool,Plywood,Cream,Traditional,TRUE,42x154x62
Teak Bed Model 4394,Bed,Teak,Espresso,Contemporary,TRUE,94x47x162
Plastic Table Model 3129,Table,Plastic,Oak Finish,Scandinavian,TRUE,38x179x16
Deluxe Wood Cabinet Model 6304,Cabinet,Wood,Blue,Industrial,TRUE,42x199x117
Oak Sofa Model 8344,Sofa,Oak,Black,Mid-Century,TRUE,125x138x66
Oak Chair Model 5941,Chair,Oak,Espresso,Contemporary,TRUE,25x132x112
Modern Plywood Dining Table Model 8267,Dining Table,Plywood,Black,Mid-Century,FALSE,165x47x26
Plastic Cabinet Model 9984,Cabinet,Plastic,Yellow,Traditional,FALSE,162x145x85
Bamboo Armchair Model 2624,Armchair,Bamboo,Yellow,Bohemian,TRUE,177x176x151
Slim Leather Stool Model 7779,Stool,Leather,Red,Industrial,FALSE,116x196x34
Leather Bench Model 7132,Bench,Leather,Blue,Rustic,FALSE,27x33x31
Leather Bed Model 3131,Bed,Leather,Black,Minimalist,FALSE,181x41x115
Teak Nightstand Model 1842,Nightstand,Teak,Cream,Bohemian,FALSE,100x36x157
Aluminum Stool Model 4674,Stool,Aluminum,Cream,Mid-Century,FALSE,152x104x39
Marble Bookshelf Model 1430,Bookshelf,Marble,Gray,Bohemian,FALSE,17x56x79
Vintage Walnut Wardrobe Model 1100,Wardrobe,Walnut,Blue,Minimalist,FALSE,27x46x199
Steel Table Model 4524,Table,Steel,Mahogany,Contemporary,FALSE,97x50x104
Oak Wardrobe Model 2391,Wardrobe,Oak,Blue,Traditional,TRUE,50x168x22
Plastic Bed Model 8957,Bed,Plastic,Red,Bohemian,FALSE,79x65x141
Wicker Sofa Model 5640,Sofa,Wicker,Green,Modern,FALSE,144x180x88
Deluxe Glass Chair Model 1897,Chair,Glass,Green,Traditional,TRUE,45x75x84
Premium Steel Bench Model 8055,Bench,Steel,Natural,Mid-Century,TRUE,138x153x181
Modern Steel Nightstand Model 8147,Nightstand,Steel,Green,Japanese,FALSE,157x119x156
Classic Oak Coffee Table Model 5743,Coffee Table,Oak,Cream,Bohemian,FALSE,53x168x127
Steel Nightstand Model 4986,Nightstand,Steel,Green,Modern,FALSE,144x30x111
Oak Wardrobe Model 6456,Wardrobe,Oak,Blue,Industrial,TRUE,140x172x39
Walnut Stool Model 6752,Stool,Walnut,Espresso,Minimalist,TRUE,70x36x47
Glass Bookshelf Model 3504,Bookshelf,Glass,White,Traditional,TRUE,55x170x136
Pine Armchair Model 8354,Armchair,Pine,Yellow,Traditional,FALSE,170x90x48
Steel Armchair Model 5961,Armchair,Steel,Red,Mid-Century,TRUE,100x139x28
Fabric Wardrobe Model 1932,Wardrobe,Fabric,Red,Japanese,FALSE,29x175x33
Fabric Coffee Table Model 1672,Coffee Table,Fabric,Yellow,Contemporary,TRUE,92x164x131
Wood Cabinet Model 6626,Cabinet,Wood,Red,Modern,TRUE,139x175x54
Glass Chair Model 8199,Chair,Glass,Mahogany,Mid-Century,TRUE,103x105x82
Leather Coffee Table Model 1857,Coffee Table,Leather,Espresso,Minimalist,FALSE,26x94x34
Extendable Plastic Coffee Table Model 3463,Coffee Table,Plastic,Brown,Traditional,TRUE,99x89x177
Aluminum Coffee Table Model 6072,Coffee Table,Aluminum,Yellow,Modern,FALSE,42x181x189
Plywood Bed Model 9331,Bed,Plywood,Cream,Bohemian,FALSE,89x56x64
Pine Bench Model 4711,Bench,Pine,Red,Industrial,TRUE,29x85x35
Plywood Chair Model 3147,Chair,Plywood,Blue,Traditional,TRUE,51x56x187
Oak Desk Model 7731,Desk,Oak,Red,Japanese,TRUE,123x166x82
Glass Armchair Model 6070,Armchair,Glass,Beige,Industrial,FALSE,59x104x183
Fabric Armchair Model 7256,Armchair,Fabric,Espresso,Rustic,FALSE,51x61x164
Teak Cabinet Model 8873,Cabinet,Teak,Brown,Japanese,TRUE,192x142x41
Steel Wardrobe Model 5469,Wardrobe,Steel,Espresso,Scandinavian,TRUE,121x33x66
Corner Walnut Armchair Model 7797,Armchair,Walnut,Blue,Japanese,FALSE,70x108x30
Glass Nightstand Model 2623,Nightstand,Glass,Natural,Minimalist,FALSE,47x45x19
Walnut Wardrobe Model 3273,Wardrobe,Walnut,Oak Finish,Mid-Century,FALSE,124x167x11
Wood Bed Model 3449,Bed,Wood,Brown,Industrial,FALSE,38x83x70
Steel Wardrobe Model 7878,Wardrobe,Steel,Natural,Industrial,FALSE,26x38x137
Plywood Table Model 4963,Table,Plywood,Beige,Traditional,FALSE,119x10x167
Glass Nightstand Model 4068,Nightstand,Glass,Yellow,Bohemian,TRUE,144x102x27
Leather Table Model 1713,Table,Leather,Oak Finish,Mid-Century,FALSE,74x14x101
Eco Wicker Bed Model 6447,Bed,Wicker,Gray,Modern,FALSE,174x54x185
Slim Oak Armchair Model 3209,Armchair,Oak,Red,Scandinavian,TRUE,85x61x21
Walnut Stool Model 6080,Stool,Walnut,Natural,Minimalist,FALSE,74x19x175
Eco Plastic Stool Model 6438,Stool,Plastic,Blue,Japanese,FALSE,112x200x122
Wicker Coffee Table Model 9151,Coffee Table,Wicker,White,Mid-Century,FALSE,31x196x118
Modern Leather Bed Model 9937,Bed,Leather,Yellow,Scandinavian,TRUE,93x179x85
Fabric Wardrobe Model 3730,Wardrobe,Fabric,Yellow,Bohemian,FALSE,124x20x196
Premium Marble Nightstand Model 1939,Nightstand,Marble,Green,Rustic,FALSE,141x183x50
Modern Aluminum Table Model 8179,Table,Aluminum,Oak Finish,Traditional,TRUE,175x103x102
Marble Coffee Table Model 3513,Coffee Table,Marble,Natural,Traditional,FALSE,105x123x29
Bamboo Cabinet Model 6150,Cabinet,Bamboo,Blue,Bohemian,TRUE,39x16x198
Deluxe Fabric Desk Model 2929,Desk,Fabric,Beige,Bohemian,FALSE,64x166x83
Glass Recliner Model 2213,Recliner,Glass,Black,Scandinavian,FALSE,32x184x91
Deluxe Oak Nightstand Model 9882,Nightstand,Oak,Black,Contemporary,TRUE,192x191x189
Compact Pine Desk Model 4673,Desk,Pine,Blue,Contemporary,TRUE,70x136x16
Bamboo Nightstand Model 8657,Nightstand,Bamboo,Yellow,Minimalist,TRUE,166x32x26
Leather Wardrobe Model 9612,Wardrobe,Leather,Mahogany,Mid-Century,FALSE,157x28x42
Plywood Bench Model 8632,Bench,Plywood,Black,Mid-Century,FALSE,42x151x173
Pine Desk Model 9238,Desk,Pine,White,Bohemian,TRUE,41x142x49
Corner Aluminum Wardrobe Model 4694,Wardrobe,Aluminum,White,Minimalist,FALSE,30x74x60
Vintage Aluminum Bookshelf Model 9740,Bookshelf,Aluminum,Cream,Rustic,TRUE,53x178x169
Teak Bench Model 1674,Bench,Teak,Walnut Finish,Traditional,TRUE,30x21x174
Plywood Bookshelf Model 7825,Bookshelf,Plywood,Gray,Traditional,TRUE,137x170x149
Plywood Wardrobe Model 5012,Wardrobe,Plywood,Brown,Mid-Century,FALSE,86x126x28
Aluminum Chair Model 8933,Chair,Aluminum,Red,Bohemian,FALSE,165x46x90
Eco Oak Bench Model 7532,Bench,Oak,Oak Finish,Minimalist,TRUE,91x71x129
Deluxe Plastic Sofa Model 3308,Sofa,Plastic,Red,Industrial,FALSE,167x117x73
Vintage Teak Desk Model 6123,Desk,Teak,Blue,Traditional,FALSE,141x129x137
Fabric Wardrobe Model 7442,Wardrobe,Fabric,Natural,Modern,TRUE,65x159x100
Classic Wood Chair Model 8710,Chair,Wood,Brown,Mid-Century,TRUE,120x44x77
Pine Nightstand Model 1741,Nightstand,Pine,Green,Minimalist,TRUE,102x151x83
Leather Bed Model 5582,Bed,Leather,Beige,Mid-Century,TRUE,42x34x110
Pine Nightstand Model 6990,Nightstand,Pine,Blue,Contemporary,TRUE,164x140x112
Wood Chair Model 6456,Chair,Wood,Natural,Scandinavian,FALSE,48x165x141
Extendable Wicker Cabinet Model 6218,Cabinet,Wicker,Walnut Finish,Traditional,FALSE,161x96x139
Oak Recliner Model 8780,Recliner,Oak,Yellow,Rustic,FALSE,94x182x38
Extendable Marble Dining Table Model 8775,Dining Table,Marble,Brown,Japanese,TRUE,194x23x159
Compact Aluminum Recliner Model 7229,Recliner,Aluminum,Beige,Traditional,TRUE,156x189x38
Compact Wood Stool Model 7861,Stool,Wood,Red,Minimalist,FALSE,138x166x130
Oak Chair Model 4397,Chair,Oak,White,Contemporary,FALSE,144x106x90
Fabric Desk Model 6608,Desk,Fabric,Walnut Finish,Contemporary,FALSE,166x133x59
Plastic Dresser Model 4684,Dresser,Plastic,Beige,Rustic,FALSE,83x190x63
Extendable Wicker Recliner Model 5480,Recliner,Wicker,Red,Minimalist,FALSE,111x98x47
Wood Wardrobe Model 6674,Wardrobe,Wood,Brown,Modern,FALSE,132x64x61
Extendable Walnut Bookshelf Model 3249,Bookshelf,Walnut,Beige,Rustic,TRUE,72x22x181
Plywood Dresser Model 2641,Dresser,Plywood,Gray,Japanese,FALSE,35x184x45
Bamboo Table Model 7666,Table,Bamboo,Walnut Finish,Scandinavian,FALSE,132x176x61
Wicker Wardrobe Model 2465,Wardrobe,Wicker,Brown,Japanese,TRUE,146x199x195
Walnut Chair Model 7846,Chair,Walnut,Walnut Finish,Scandinavian,TRUE,19x111x136
Extendable Walnut Desk Model 1613,Desk,Walnut,Mahogany,Rustic,TRUE,95x82x126
Modern Walnut Recliner Model 8668,Recliner,Walnut,White,Contemporary,FALSE,51x197x127
Oak Bookshelf Model 6523,Bookshelf,Oak,White,Japanese,TRUE,54x166x173
Modern Teak Coffee Table Model 6372,Coffee Table,Teak,Green,Contemporary,TRUE,45x132x92
Wood Dresser Model 4858,Dresser,Wood,Brown,Bohemian,FALSE,94x87x159
Modern Plastic Table Model 4871,Table,Plastic,Cream,Minimalist,FALSE,88x50x113
Oak Wardrobe Model 7021,Wardrobe,Oak,Black,Rustic,TRUE,44x132x49
Oak Armchair Model 7813,Armchair,Oak,Yellow,Minimalist,FALSE,147x180x65
Plywood Dresser Model 2341,Dresser,Plywood,Espresso,Traditional,FALSE,29x154x38
Teak Chair Model 4312,Chair,Teak,Beige,Contemporary,TRUE,52x93x143
Corner Steel Armchair Model 9008,Armchair,Steel,Cream,Industrial,FALSE,24x126x43
Fabric Dining Table Model 8575,Dining Table,Fabric,Yellow,Japanese,FALSE,195x15x111
Eco Teak Bookshelf Model 2196,Bookshelf,Teak,Natural,Industrial,TRUE,148x25x27
Wood Recliner Model 3948,Recliner,Wood,Brown,Bohemian,FALSE,105x107x124
Leather Coffee Table Model 3178,Coffee Table,Leather,Black,Contemporary,FALSE,40x55x147
Bamboo Coffee Table Model 1056,Coffee Table,Bamboo,White,Industrial,FALSE,128x182x194
Bamboo Dining Table Model 5055,Dining Table,Bamboo,Green,Industrial,TRUE,80x58x195
Modern Wood Sofa Model 1256,Sofa,Wood,Espresso,Bohemian,TRUE,162x18x124
Glass Chair Model 7590,Chair,Glass,Mahogany,Japanese,TRUE,24x45x138
Glass Wardrobe Model 6224,Wardrobe,Glass,Oak Finish,Traditional,FALSE,70x87x46
Leather Dresser Model 1998,Dresser,Leather,Brown,Rustic,TRUE,170x183x119
Premium Wood Recliner Model 9592,Recliner,Wood,Blue,Bohemian,FALSE,48x86x106
Pine Desk Model 4948,Desk,Pine,Beige,Mid-Century,FALSE,191x46x128
Compact Bamboo Chair Model 9683,Chair,Bamboo,Green,Bohemian,FALSE,62x94x175
Walnut Bed Model 2514,Bed,Walnut,Red,Minimalist,TRUE,23x78x106
Teak Chair Model 4555,Chair,Teak,Black,Industrial,FALSE,87x13x64
Oak Stool Model 4974,Stool,Oak,Black,Mid-Century,TRUE,111x71x151
Pine Bench Model 8639,Bench,Pine,Brown,Bohemian,FALSE,88x76x102
Fabric Recliner Model 6246,Recliner,Fabric,Black,Mid-Century,FALSE,90x115x21
Oak Dresser Model 5272,Dresser,Oak,White,Japanese,FALSE,85x49x60
Glass Bench Model 5026,Bench,Glass,Green,Traditional,FALSE,75x135x195
Corner Fabric Recliner Model 3773,Recliner,Fabric,White,Minimalist,FALSE,57x148x174
Bamboo Chair Model 1794,Chair,Bamboo,Natural,Modern,FALSE,45x171x69
Oak Bed Model 4583,Bed,Oak,White,Japanese,FALSE,25x168x173
Plywood Recliner Model 1108,Recliner,Plywood,Red,Japanese,FALSE,13x14x145
Bamboo Bookshelf Model 9228,Bookshelf,Bamboo,Brown,Japanese,FALSE,55x37x34
Eco Glass Cabinet Model 9625,Cabinet,Glass,Gray,Traditional,FALSE,111x30x105
Modern Fabric Coffee Table Model 4700,Coffee Table,Fabric,Yellow,Industrial,TRUE,33x113x107
Bamboo Coffee Table Model 1154,Coffee Table,Bamboo,Red,Japanese,TRUE,137x121x175
Marble Bench Model 9653,Bench,Marble,Oak Finish,Modern,TRUE,64x187x155
Plastic Recliner Model 5593,Recliner,Plastic,Natural,Modern,TRUE,55x90x14
Extendable Marble Stool Model 2260,Stool,Marble,White,Bohemian,TRUE,155x109x183
Leather Bench Model 2284,Bench,Leather,Espresso,Scandinavian,FALSE,23x35x121
Teak Dresser Model 7499,Dresser,Teak,Black,Minimalist,FALSE,17x172x79
Fabric Armchair Model 7150,Armchair,Fabric,Gray,Minimalist,FALSE,31x168x85
Vintage Oak Dresser Model 5390,Dresser,Oak,Black,Modern,FALSE,91x102x37
Wood Bed Model 6896,Bed,Wood,Brown,Mid-Century,TRUE,43x32x57
Fabric Dining Table Model 9395,Dining Table,Fabric,Beige,Contemporary,TRUE,32x100x151
Premium Marble Bed Model 7311,Bed,Marble,Yellow,Minimalist,FALSE,31x195x153
Deluxe Marble Dresser Model 7237,Dresser,Marble,Beige,Scandinavian,FALSE,78x136x47
Modern Aluminum Bed Model 7899,Bed,Aluminum,Green,Rustic,FALSE,74x73x194
Deluxe Marble Recliner Model 8501,Recliner,Marble,Yellow,Industrial,TRUE,111x95x168
Extendable Pine Coffee Table Model 8212,Coffee Table,Pine,Oak Finish,Minimalist,TRUE,86x92x164
Fabric Stool Model 7524,Stool,Fabric,Blue,Scandinavian,FALSE,198x187x172
Marble Recliner Model 6339,Recliner,Marble,Espresso,Industrial,FALSE,103x39x154
Marble Stool Model 1440,Stool,Marble,Beige,Scandinavian,FALSE,191x63x122
Teak Wardrobe Model 7703,Wardrobe,Teak,Mahogany,Modern,TRUE,172x87x71
Extendable Plywood Bookshelf Model 7176,Bookshelf,Plywood,White,Bohemian,FALSE,159x112x146
Bamboo Dining Table Model 9796,Dining Table,Bamboo,Natural,Minimalist,TRUE,37x73x178
Aluminum Nightstand Model 1725,Nightstand,Aluminum,Cream,Traditional,FALSE,94x120x37
Steel Table Model 9366,Table,Steel,Brown,Industrial,TRUE,124x105x110
Classic Pine Armchair Model 9199,Armchair,Pine,Cream,Traditional,FALSE,36x85x116
Slim Steel Bed Model 6707,Bed,Steel,Oak Finish,Scandinavian,TRUE,143x133x99
Classic Steel Recliner Model 6225,Recliner,Steel,Red,Mid-Century,TRUE,15x97x175
Plywood Sofa Model 4996,Sofa,Plywood,Espresso,Scandinavian,TRUE,94x153x119
Premium Glass Armchair Model 4022,Armchair,Glass,Espresso,Bohemian,FALSE,17x198x167
Compact Fabric Stool Model 7370,Stool,Fabric,Yellow,Bohemian,TRUE,81x190x26
Pine Sofa Model 4063,Sofa,Pine,Oak Finish,Contemporary,TRUE,127x39x77
Bamboo Recliner Model 7367,Recliner,Bamboo,Cream,Minimalist,TRUE,99x100x127
Teak Desk Model 2388,Desk,Teak,Cream,Rustic,FALSE,40x71x88
Aluminum Sofa Model 9369,Sofa,Aluminum,Blue,Scandinavian,TRUE,157x108x118
Fabric Desk Model 3838,Desk,Fabric,Cream,Contemporary,FALSE,83x45x57
Teak Bench Model 1878,Bench,Teak,Red,Traditional,TRUE,134x44x59
Bamboo Coffee Table Model 7703,Coffee Table,Bamboo,Beige,Mid-Century,FALSE,191x123x135
Deluxe Steel Desk Model 4613,Desk,Steel,Yellow,Japanese,TRUE,147x83x53
Modern Marble Armchair Model 9369,Armchair,Marble,Mahogany,Mid-Century,FALSE,149x103x148
